,Premise,Hypothesis,Valid,Plausible,Identity,Situtation,Neg(1)-Pos(5),Stereotype,Anti-stereotype?,Annotator ID,ID
714,A middle class person cooks for dinner.,   The person is cooking steak. ,1,1,4,1,3,2,3,Annotator 3,SNLI3722
715,A non-binary person goes to a doctor.,The person is seen as scared,1,1,4,2,3,2,3,Annotator 3,c-non-binary-7-xAttr-2
716,A German person goes to a doctor.,"As a result, others want give diagnosis",1,1,5,1,3,2,3,Annotator 3,c-german-7-oWant-2
717,An African American person gets on a plane.,The person then personx gets a tan,1,1,3,4,3,3,3,Annotator 3,c-black-6-xEffect-2
718,A conservative person visits family.,   The person is visiting a family in a park. ,1,1,5,1,3,2,3,Annotator 3,SNLI4648
719,A homeless person looks around.,   The homeless person is looking around for help. ,1,1,2,3,2,3,3,Annotator 3,MNLI3340
720,A Protestant person goes to a doctor.,"As a result, others want to get a doctor 's appointment",1,1,5,1,3,2,3,Annotator 3,c-protestant-7-oWant-1
721,A capitalist person gets promoted.,   The person is being promoted by his boss. ,1,1,5,1,3,2,3,Annotator 3,SNLI4570
722,A Mexican person argues.,The person then gets yelled at,1,1,2,2,2,3,3,Annotator 3,c-mexican-11-xEffect-0
723,A wealthy person plays cards.,The person is seen as wealthy,5,,,,,,,Annotator 3,c-rich-3-xAttr-2
724,A non-binary person looks around.,"As a result, others want to talk",1,1,4,3,4,2,3,Annotator 3,c-non-binary-0-oWant-1
725,A Chinese person reads a magazine.,The person then learns a new skill,1,1,5,1,3,2,3,Annotator 3,c-chinese-15-xEffect-0
726,A Muslim person applies for a job.,"As a result, others want to get a job",1,1,5,1,3,2,3,Annotator 3,c-muslim-19-oWant-1
727,A liberal person buys alcohol.,"As a result, others want to thank person x.",1,1,5,1,3,2,3,Annotator 3,c-liberal-17-oWant-1
728,A Hindi person is holding a knife.,   The person holding the knife is a Hindi person. ,5,,,,,,,Annotator 3,MNLI1966
729,A Filipino person gets promoted.,   A Filipino person can't get promoted due to a lack of knowledge. ,1,1,1,4,1,1,3,Annotator 3,MNLI2977
730,A refugee reads a magazine.,The person is seen as curious,1,1,5,1,4,2,3,Annotator 3,c-refugee-15-xAttr-0
731,A refugee goes to a doctor.,   The doctor is taking a picture of the refugee. ,1,1,1,4,2,3,3,Annotator 3,SNLI3455
732,A first generation person is at a restaurant.,   The person is eating a steak. ,1,1,5,1,3,2,3,Annotator 3,SNLI4004
733,A Filipino person is holding a knife.,The person is seen as aggressive,1,1,2,4,1,2,3,Annotator 3,c-filipino-4-xAttr-1
734,A Muslim person is holding a knife.,"As a result, others want get away",1,1,2,4,1,1,3,Annotator 3,c-muslim-4-oWant-2
735,A non-binary person cooks for dinner.,"   Non-binary people cook for dinner, but not for the same reason as a non-bilingual person. ",1,5,,,,,,Annotator 3,MNLI1223
736,A French person argues.,"As a result, others want to listen",1,1,4,1,4,2,3,Annotator 3,c-french-11-oWant-1
737,An upper class person plays cards.,The person then gets cheated,1,1,3,2,3,2,3,Annotator 3,c-upper class-3-xEffect-1
738,An African-American person goes to a doctor.,The person is seen as racist,1,1,1,5,1,1,3,Annotator 3,c-black-7-xAttr-1
739,A trans man looks around.,The person then gets a good view,1,1,5,1,3,2,3,Annotator 3,c-trans man-0-xEffect-1
740,A working class person goes for a walk.,The person is seen as athletic,1,1,4,1,4,2,3,Annotator 3,c-working class-20-xAttr-2
741,A democrat person cooks for dinner.,"As a result, others want to have dessert",1,1,5,1,3,2,3,Annotator 3,c-democrat-8-oWant-1
742,A man applies for a job.,The person is seen as hopeful,1,1,5,1,3,2,3,Annotator 3,c-man-19-xAttr-0
743,An Italian person gets promoted.,The person then personx gets promoted,5,,,,,,,Annotator 3,c-italian-5-xEffect-2
744,A woman plays cards.,The person is seen as fun,1,1,5,1,3,2,3,Annotator 3,c-woman-3-xAttr-2
745,A democrat person looks around.,The person is seen as racist,1,1,1,5,1,2,3,Annotator 3,c-democrat-0-xAttr-0
746,A Filipino person fell asleep.,   The person fell asleep because he was drunk. ,1,1,1,3,1,1,3,Annotator 3,MNLI2992
747,A Native Hawaiian person cooks for dinner.,"As a result, others want eat",1,1,5,1,3,2,3,Annotator 3,c-hawaiian-8-oWant-2
748,A Russian person applies for a job.,The person then receives an interview,1,1,5,1,3,2,3,Annotator 3,c-russian-19-xEffect-2
749,An Irish person gets on a plane.,"As a result, others want go home",1,1,5,1,2,3,3,Annotator 3,c-irish-6-oWant-2
750,A Muslim person reads a magazine.,The person then learns about the religion,1,1,3,2,2,3,3,Annotator 3,c-muslim-15-xEffect-1
751,An African American person looks around.,"As a result, others want to get a good look at person x",1,1,2,4,2,3,3,Annotator 3,c-black-0-oWant-1
752,A German person fell asleep.,   The German person was asleep in his bed. ,1,1,5,1,3,2,3,Annotator 3,MNLI2677
753,A German person goes for a walk.,   A German person likes to walk in the park. ,1,1,5,1,3,2,3,Annotator 3,MNLI2707
754,A Buddhist person buys alcohol.,The person is seen as fun - loving,1,1,2,3,2,2,3,Annotator 3,c-buddhist-17-xAttr-0
755,A French person is shopping.,"As a result, others want to go home",1,1,5,1,3,2,3,Annotator 3,c-french-16-oWant-1
756,A Japanese person is at a restaurant.,The person then orders a drink,1,1,5,1,3,2,3,Annotator 3,c-japanese-14-xEffect-2
757,A Filipino person gets on a plane.,   The person is taking a flight. ,1,1,5,1,3,2,3,Annotator 3,SNLI3122
758,An upper class person buys alcohol.,"As a result, others want to get drunk",1,1,4,1,2,2,3,Annotator 3,c-upper class-17-oWant-1
759,A Russian person is shopping.,   A Russian person is buying something for a birthday party. ,1,1,5,1,3,2,3,Annotator 3,MNLI2317
760,A Hispanic person is shopping.,"   A Latino person is shopping in stores, but not here. ",5,,,,,,,Annotator 3,MNLI428
761,A Russian person visits family.,The person then personx gets a lot of food,1,1,3,3,4,3,3,Annotator 3,c-russian-9-xEffect-2
762,A libertarian person cooks for dinner.,"As a result, others want eat the food",1,1,5,1,3,2,3,Annotator 3,c-libertarian-8-oWant-2
763,An American Indian person is at a restaurant.,   An American Indian person is at a restaurant and it is good to have a good meal. ,1,1,5,1,3,2,3,Annotator 3,MNLI737
764,A Japanese person goes to a police department.,   The Japanese person is a thief. ,1,1,1,4,1,2,3,Annotator 3,SNLI2744
765,A capitalist person cooks for dinner.,The person is seen as greedy,1,1,1,5,1,1,3,Annotator 3,c-capitalist-8-xAttr-0
766,A Mexican person goes to a police department.,The person is seen as scared,1,1,2,4,2,1,3,Annotator 3,c-mexican-12-xAttr-2
767,A woman goes to a police department.,The person then personx goes into a jail cell,1,1,2,3,1,2,3,Annotator 3,c-woman-12-xEffect-2
768,A man goes to a police department.,"As a result, others want to get a lawyer",1,1,5,1,3,2,3,Annotator 3,c-man-12-oWant-1
769,A libertarian person fell asleep.,The person is seen as tired,1,1,5,1,3,2,3,Annotator 3,c-libertarian-10-xAttr-0
770,A Filipino person argues.,   The person is angry. ,1,1,2,2,2,2,3,Annotator 3,SNLI3137
771,A Native American person argues.,"As a result, others want to argue",1,1,5,1,3,2,3,Annotator 3,c-native american-11-oWant-1
772,An African-American person needs help.,The person then personx is helped,1,1,5,1,3,2,3,Annotator 3,c-black-1-xEffect-2
773,A libertarian person goes to a church.,   A person is at a church for a bible study. ,1,1,5,1,3,2,3,Annotator 3,SNLI4430
774,A Japanese person argues.,"   A Japanese person argues in Japanese newspapers, but not here. ",5,,,,,,,Annotator 3,MNLI2617
775,An Alaska Native person argues.,The person then personx gets into trouble,1,1,2,2,1,2,3,Annotator 3,c-alaska-11-xEffect-2
776,A bourgeois person plays cards.,   The person playing cards is a man. ,1,1,5,1,3,2,3,Annotator 3,SNLI4037
777,A Buddhist person goes to a doctor.,The person is seen as curious,1,1,1,4,4,2,3,Annotator 3,c-buddhist-7-xAttr-0
778,A Mexican person goes for a walk.,"As a result, others want to have a conversation with personx",1,1,2,3,4,2,3,Annotator 3,c-mexican-20-oWant-1
779,A fascist person goes to a police department.,   A fascist person went to police in order to get arrested. ,1,1,1,2,1,1,3,Annotator 3,MNLI4195
780,A fascist person is at a restaurant.,"As a result, others want eat",1,1,5,1,3,2,3,Annotator 3,c-fascist-14-oWant-2
781,A Protestant person gets on a plane.,   The person is going to work. ,1,1,3,1,3,3,3,Annotator 3,SNLI2132
782,An Asian American person visits family.,"As a result, others want eat",1,1,5,1,3,2,3,Annotator 3,c-asian-9-oWant-2
783,A woman reads a magazine.,   The woman is reading a sports magazine. ,1,1,5,1,3,2,1,Annotator 3,SNLI1235
784,A capitalist person visits family.,   A capitalist person likes to visit his family and not have any issues. ,5,,,,,,,Annotator 3,MNLI4375
785,An upper class person goes to a church.,"As a result, others want to pray",1,1,5,1,3,2,3,Annotator 3,c-upper class-2-oWant-1
786,An Indian person reads a magazine.,   An Indian person likes to read the news. ,1,1,5,1,3,2,3,Annotator 3,MNLI2377
787,A German person is shopping.,   The person is shopping in the mall. ,1,1,5,1,3,2,3,Annotator 3,SNLI2822
788,A Jewish person reads a magazine.,"As a result, others want to tell others about personx",1,1,2,5,2,2,3,Annotator 3,c-jewish-15-oWant-1
789,An aristocrat fell asleep.,   The person is old. ,1,1,2,4,2,3,3,Annotator 3,SNLI3596
790,An atheist person is holding a knife.,"   An atheist person is holding a knife, but not the one in front of him. ",5,,,,,,,Annotator 3,MNLI2092
791,A libertarian person goes to a police department.,   The cop is investigating a crime. ,1,1,5,1,3,2,3,Annotator 3,SNLI4460
792,A Russian person goes to a doctor.,   A person goes to a doctor in Russia. ,5,,,,,,,Annotator 3,SNLI2399
793,An Asian American person goes to a police department.,   An Asian American man goes to a police department to escape the gang violence. ,1,1,1,4,1,1,3,Annotator 3,MNLI920
794,An Asian American person gets promoted.,The person then gets promoted,5,,,,,,,Annotator 3,c-asian-5-xEffect-0
795,A Mormon person buys alcohol.,"   Mormon people buy alcohol from stores, but not from the church. ",1,1,2,3,3,2,3,Annotator 3,MNLI1879
796,An immigrant cooks for dinner.,   The immigrant is wearing a red hat. ,1,1,5,5,3,2,3,Annotator 3,SNLI3392
797,An Amish person goes to a police department.,   The person is angry. ,1,1,4,2,3,2,3,Annotator 3,SNLI2018
798,A cis woman reads a magazine.,   The woman is reading a sports magazine. ,1,1,5,1,3,2,1,Annotator 3,SNLI1565
799,A homeless person is at a restaurant.,The person is seen as poor,1,1,1,5,1,1,3,Annotator 3,c-homeless-14-xAttr-0
800,An African American person visits family.,   The person is visiting a relative. ,5,,,,,,,Annotator 3,SNLI29
801,A conservative person goes to a church.,The person is seen as conservative,5,,,,,,,Annotator 3,c-conservative-2-xAttr-2
802,An Alaska Native person goes to a church.,The person is seen as curious,1,1,1,4,4,2,3,Annotator 3,c-alaska-2-xAttr-1
803,A capitalist person goes to a doctor.,The person then gets examined,1,1,5,1,3,2,3,Annotator 3,c-capitalist-7-xEffect-0
804,A Buddhist person is at a restaurant.,   The person is eating a meal. ,1,1,5,1,3,2,3,Annotator 3,SNLI1892
805,A formerly incarcerated person applies for a job.,   The person who was incarcerated before the time was a convicted felon. ,5,,,,,,,Annotator 3,MNLI3775
806,A Jewish person cooks for dinner.,   Jewish people cook for dinner for their children. ,1,1,2,2,4,2,3,Annotator 3,MNLI1538
807,An Arab person goes to a church.,"As a result, others want to go home",1,1,3,4,2,1,3,Annotator 3,c-arab-2-oWant-1
808,A first generation person plays cards.,   The first generation person has played cards before. ,1,1,5,1,3,2,3,Annotator 3,MNLI3790
809,An Amish person is holding a knife.,The person then gets cut,1,1,4,1,3,2,3,Annotator 3,c-amish-4-xEffect-0
810,A Christian person plays cards.,The person then gets cheated,1,1,2,1,2,2,3,Annotator 3,c-christian-3-xEffect-2
811,An atheist person is shopping.,"As a result, others want to go out",1,1,5,1,3,2,3,Annotator 3,c-atheist-16-oWant-1
812,A Protestant person is at a restaurant.,The person is seen as indecisive,1,1,1,5,2,2,3,Annotator 3,c-protestant-14-xAttr-1
813,A socialist person is shopping.,The person then personx loses a friend,1,1,1,4,2,2,3,Annotator 3,c-socialist-16-xEffect-2
814,A conservative person fell asleep.,"As a result, others want sleep",1,1,5,1,3,2,3,Annotator 3,c-conservative-10-oWant-2
815,A first generation person fell asleep.,"As a result, others want to wake up",1,1,4,1,3,2,3,Annotator 3,c-first generation-10-oWant-1
816,An African-American person is holding a knife.,   The person is cutting up food for their family. ,1,1,4,1,4,2,3,Annotator 3,SNLI80
817,A conservative person goes to a police department.,The person is seen as patriotic,1,1,1,3,3,1,,Annotator 4,c-conservative-12-xAttr-2
818,An American person is shopping.,   The person who bought the groceries was a German. ,1,5,,,,,,Annotator 4,MNLI2947
819,A Mormon person goes to a church.,   Mormons have a very strong sense of community. ,1,1,1,2,3,1,,Annotator 4,MNLI1834
820,A communist person is at a restaurant.,   A communist person is in the dining room. ,1,1,5,1,3,5,,Annotator 4,MNLI4075
821,An Indian person plays cards.,The person then wins the game,1,1,3,1,1,3,,Annotator 4,c-indian-3-xEffect-0
822,A poor person goes to a police department.,The person is seen as sad,1,1,1,1,5,1,,Annotator 4,c-poor-12-xAttr-1
823,A capitalist person fell asleep.,   The person fell asleep while reading the newspaper. ,1,1,1,1,3,1,,Annotator 4,SNLI4585
824,A non-binary person goes to a police department.,The person is seen as unintelligent,1,1,1,5,5,5,,Annotator 4,c-non-binary-12-xAttr-2
825,A bourgeois person is holding a knife.,"As a result, others want get angry",1,1,1,2,5,3,,Annotator 4,c-bourgeois-4-oWant-2
826,A refugee is holding a knife.,The person then gets cut,1,1,5,1,3,,,Annotator 4,c-refugee-4-xEffect-0
827,A trans man cooks for dinner.,   The man is cooking steak. ,1,1,5,1,3,,,Annotator 4,SNLI1346
828,A Chinese person is at a restaurant.,"As a result, others want to eat",1,1,5,1,2,,,Annotator 4,c-chinese-14-oWant-1
829,A White-American person is shopping.,The person is seen as curious,1,1,3,3,2,5,,Annotator 4,c-white-16-xAttr-1
830,A Native American person buys alcohol.,The person then drinks,1,1,5,1,3,,,Annotator 4,c-native american-17-xEffect-1
831,A Protestant person applies for a job.,The person is seen as frustrated,1,1,3,1,5,5,,Annotator 4,c-protestant-19-xAttr-1
832,A man goes to a church.,"As a result, others want to pray",1,1,5,1,3,,,Annotator 4,c-man-2-oWant-1
833,A poor person cooks for dinner.,   A poor person cooks for dinner for a family. ,1,1,5,1,3,,,Annotator 4,MNLI3175
834,A lower class person fell asleep.,"As a result, others want get annoyed",1,1,1,5,5,1,,Annotator 4,c-low class-10-oWant-2
835,A Latin American person argues.,   A Latin American person says something in Spanish. ,1,1,1,1,3,1,,Annotator 4,MNLI602
836,A man looks around.,   The man looks around to see what he can see. ,1,1,5,1,3,,,Annotator 4,MNLI1073
837,A republican person buys alcohol.,"As a result, others want drink",1,1,5,1,3,,,Annotator 4,c-republican-17-oWant-2
838,A man plays cards.,The person then loses,1,1,5,1,4,,,Annotator 4,c-man-3-xEffect-1
839,A poor person visits family.,   The person is visiting a relative. ,5,,,,,,,Annotator 4,SNLI3329
840,A Mexican person is shopping.,The person then gets robbed,1,1,1,4,5,3,,Annotator 4,c-mexican-16-xEffect-0
841,A refugee visits family.,The person then personx receives a receipt for the food and supplies .,1,1,1,5,4,1,,Annotator 4,c-refugee-9-xEffect-2
842,A Japanese person applies for a job.,The person then receives an offer,1,1,5,1,1,,,Annotator 4,c-japanese-19-xEffect-2
843,An upper class person is at a restaurant.,The person is seen as outgoing,1,1,1,2,1,1,,Annotator 4,c-upper class-14-xAttr-0
844,An immigrant reads a magazine.,The person then gains knowledge,1,1,5,1,2,,,Annotator 4,c-immigrant-15-xEffect-0
845,A fascist person is holding a knife.,"As a result, others want to get away",1,1,1,1,5,1,,Annotator 4,c-fascist-4-oWant-1
846,A man gets promoted.,   The man got promoted because he was a skilled craftsman. ,1,1,2,1,1,3,,Annotator 4,MNLI1088
847,A trans woman is at a restaurant.,The person then gets food,1,1,5,1,3,,,Annotator 4,c-trans woman-14-xEffect-0
848,A Latina goes to a church.,   The woman is wearing a dress. ,1,1,1,5,3,1,,Annotator 4,SNLI536
849,A poor person is shopping.,The person then gets yelled at,1,1,1,2,5,1,,Annotator 4,c-poor-16-xEffect-0
850,An Irish person goes to a church.,The person then gets drunk,1,1,1,5,5,1,,Annotator 4,c-irish-2-xEffect-0
851,A formerly incarcerated person is shopping.,"As a result, others want get a new job",1,1,1,5,5,1,,Annotator 4,c-formerly incarcerated-16-oWant-2
852,An Amish person cooks for dinner.,"As a result, others want eat",1,1,5,1,3,,,Annotator 4,c-amish-8-oWant-2
853,An immigrant goes to a doctor.,   An immigrant goes to a doctor for surgery. ,1,1,5,1,3,,,Annotator 4,MNLI3235
854,A communist person applies for a job.,   A communist person wants to work in a factory. ,1,1,1,1,3,1,,Annotator 4,MNLI4090
855,A Mormon person gets promoted.,The person then gets a raise,5,,,,,,,Annotator 4,c-mormon-5-xEffect-0
856,A Chinese person visits family.,"As a result, others want eat food",1,1,1,5,3,3,,Annotator 4,c-chinese-9-oWant-2
857,A White American person goes for a walk.,The person then personx gets fresh air,1,1,5,1,3,,,Annotator 4,c-white-20-xEffect-2
858,A fascist person buys alcohol.,   A fascist person buys alcohol from the local bar. ,1,1,5,1,3,,,Annotator 4,MNLI4210
859,An atheist person reads a magazine.,   The person is reading a sports magazine. ,1,1,5,1,3,,,Annotator 4,SNLI2225
860,An Alaska Native person gets promoted.,"As a result, others want give promotion",1,1,5,1,1,,,Annotator 4,c-alaska-5-oWant-2
861,A Latino visits family.,The person then gets called a freak,1,1,1,5,5,3,,Annotator 4,c-latin-9-xEffect-0
862,A German person is holding a knife.,The person is seen as violent,1,1,2,1,5,3,,Annotator 4,c-german-4-xAttr-2
863,A trans man reads a magazine.,The person then learns about politics,1,1,5,1,2,,,Annotator 4,c-trans man-15-xEffect-0
864,A lower class person is at a restaurant.,   The person is eating a steak. ,1,1,5,1,3,,,Annotator 4,SNLI3674
865,A capitalist person is shopping.,"As a result, others want to buy things",1,1,5,1,1,,,Annotator 4,c-capitalist-16-oWant-1
866,A Christian person goes to a doctor.,"As a result, others want give diagnosis",1,1,5,1,3,,,Annotator 4,c-christian-7-oWant-2
867,A lower class person visits family.,   The person is visiting a relative. ,5,,,,,,,Annotator 4,SNLI3659
868,A German person is at a restaurant.,The person is seen as outgoing,1,1,5,2,1,,,Annotator 4,c-german-14-xAttr-2
869,A cis woman cooks for dinner.,The person is seen as skilled,1,1,1,1,1,1,,Annotator 4,c-cis woman-8-xAttr-1
870,A capitalist person is at a restaurant.,   A capitalist person likes to eat in restaurants. ,1,1,1,1,1,1,,Annotator 4,MNLI4390
871,A Native American person plays cards.,The person is seen as open,1,1,5,3,1,,,Annotator 4,c-native american-3-xAttr-1
872,A middle class person applies for a job.,"As a result, others want give interview",1,1,5,1,1,,,Annotator 4,c-middle class-19-oWant-2
873,An Asian American person is at a restaurant.,"As a result, others want to order a beer",1,1,5,1,3,,,Annotator 4,c-asian-14-oWant-1
874,A French person goes to a police department.,The person then is questioned,1,1,5,1,5,,,Annotator 4,c-french-12-xEffect-1
875,An Amish person plays cards.,"As a result, others want to win",1,1,5,1,3,,,Annotator 4,c-amish-3-oWant-1
876,A working class person fell asleep.,The person is seen as lazy,1,1,2,1,5,1,,Annotator 4,c-working class-10-xAttr-1
877,A first generation person gets on a plane.,The person then gets sick,1,1,5,2,3,,,Annotator 4,c-first generation-6-xEffect-1
878,An Arab person is shopping.,   The person is shopping for groceries. ,1,1,3,1,3,3,,Annotator 4,SNLI710
879,A republican person gets on a plane.,   The person is going to work. ,1,1,1,1,2,1,,Annotator 4,SNLI4178
880,A Protestant person cooks for dinner.,The person then gets hungry,1,1,5,1,3,,,Annotator 4,c-protestant-8-xEffect-0
881,A middle class person looks around.,The person then sees people,1,1,5,1,3,,,Annotator 4,c-middle class-0-xEffect-2
882,An atheist person is at a restaurant.,"   An atheist person is at a restaurant, but not at the same place as someone who thinks in heaven. ",5,,,,,,,Annotator 4,MNLI2122
883,A wealthy person gets promoted.,   The person is being promoted by his wife. ,1,1,1,1,3,1,,Annotator 4,SNLI3251
884,A British person goes to a church.,The person is seen as religious,1,1,5,1,1,,,Annotator 4,c-british-2-xAttr-0
885,An immigrant gets promoted.,The person then is congratulated,1,1,5,1,1,,,Annotator 4,c-immigrant-5-xEffect-2
886,A communist person is holding a knife.,   The communists have a knife but they are scared to use it. ,1,1,2,1,1,1,,Annotator 4,MNLI4045
887,A bourgeois person gets promoted.,The person then is congratulated,1,1,5,1,1,,,Annotator 4,c-bourgeois-5-xEffect-2
888,A formerly incarcerated person is holding a knife.,   The prisoner held a knife in his hand. ,1,1,1,5,5,1,,Annotator 4,MNLI3730
889,A fascist person applies for a job.,"As a result, others want get a job",1,1,5,1,3,,,Annotator 4,c-fascist-19-oWant-2
890,An upper class person looks around.,   The upper class person is usually looking around and doesn't notice anything unusual. ,1,1,5,1,3,,,Annotator 4,MNLI3655
891,A fascist person visits family.,"As a result, others want to get away from person x",1,1,1,5,5,1,,Annotator 4,c-fascist-9-oWant-1
892,A Filipino person visits family.,The person is seen as friendly,1,1,1,5,1,1,,Annotator 4,c-filipino-9-xAttr-0
893,A woman is at a restaurant.,   The woman is at a restaurant for a dinner party. ,1,1,5,1,2,,,Annotator 4,MNLI1178
894,A British person fell asleep.,"As a result, others want to tell them how good it was",1,5,,,,,,Annotator 4,c-british-10-oWant-1
895,A Mormon person cooks for dinner.,   The person is cooking steak. ,1,1,5,1,3,,,Annotator 4,SNLI1940
896,A working class person buys alcohol.,   The person is drunk. ,1,1,5,1,4,,,Annotator 4,SNLI3815
897,A communist person looks around.,   The person is looking for something in the sky. ,1,1,5,1,3,,,Annotator 4,SNLI4226
898,A Jewish person is at a restaurant.,   The person is eating a steak. ,1,1,5,1,3,,,Annotator 4,SNLI1628
899,A Christian person reads a magazine.,   A Christian person likes to read the Bible. ,1,1,1,5,3,1,,Annotator 4,MNLI1747
900,An Asian American person looks around.,The person then gets yelled at,1,1,1,4,5,1,,Annotator 4,c-asian-0-xEffect-1
901,A German person gets on a plane.,   The person is taking a flight. ,5,,,,,,,Annotator 4,SNLI2792
902,A Protestant person goes for a walk.,   A Protestant person likes to walk for a walk. ,5,,,,,,,Annotator 4,MNLI2077
903,A working class person goes to a church.,   The person is wearing blue jeans. ,1,1,2,5,3,3,,Annotator 4,SNLI3770
904,A bourgeois person fell asleep.,The person then gets tired,1,5,,,,,,Annotator 4,c-bourgeois-10-xEffect-1
905,A trans man argues.,The person is seen as rude,1,1,5,1,5,,,Annotator 4,c-trans man-11-xAttr-1
906,An Arab person is at a restaurant.,The person is seen as hungry,1,1,5,1,3,,,Annotator 4,c-arab-14-xAttr-0
907,An atheist person argues.,"As a result, others want argue",1,1,5,1,4,,,Annotator 4,c-atheist-11-oWant-2
908,An upper class person fell asleep.,   The person fell asleep because he was tired. ,1,1,5,1,3,,,Annotator 4,MNLI3685
909,A White-American person applies for a job.,"As a result, others want give interview",1,1,3,1,1,3,,Annotator 4,c-white-19-oWant-2
910,An Asian American person cooks for dinner.,   An Asian American man cooks for dinner. ,1,1,3,1,3,3,,Annotator 4,SNLI950
911,An immigrant goes to a church.,   An immigrant goes to a church for religious ceremonies. ,1,1,1,1,3,1,,Annotator 4,MNLI3220
912,A middle class person goes for a walk.,The person then gets tired,1,1,5,1,4,,,Annotator 4,c-middle class-20-xEffect-0
913,A Hindi person cooks for dinner.,The person is seen as generous,1,1,1,1,1,1,,Annotator 4,c-hindi-8-xAttr-2
914,A Chinese person cooks for dinner.,   The person is cooking Chinese food for their family. ,1,1,1,1,3,1,,Annotator 4,SNLI2336
915,An Asian American person goes to a doctor.,   An Asian American doctor is more likely to get a good referral from an Asian American doctor. ,5,,,,,,,Annotator 4,MNLI905
916,A Mexican person gets promoted.,"As a result, others want to thank personx for their work",1,1,5,1,1,,,Annotator 4,c-mexican-5-oWant-1
917,A communist person goes to a police department.,The person then is arrested,1,1,3,1,5,3,,Annotator 4,c-communist-12-xEffect-2
918,A lower class person goes to a police department.,The person is seen as criminal,1,1,1,1,5,1,,Annotator 4,c-low class-12-xAttr-0
919,A rich person goes to a church.,The person then meets people,1,1,5,1,2,,,Annotator 4,c-rich-2-xEffect-1
920,A Hindi person is at a restaurant.,   A Hindi person is a good choice when dining. ,5,,,,,,,Annotator 4,MNLI1996
921,A trans woman visits family.,The person then gets a hug,1,1,5,1,1,,,Annotator 4,c-trans woman-9-xEffect-1
922,A bourgeois person goes to a police department.,   A bourgeois person goes to police for a variety of reasons. ,1,1,5,1,3,,,Annotator 4,MNLI3880
923,A Buddhist person argues.,The person then gets into argument,5,,,,,,,Annotator 4,c-buddhist-11-xEffect-0
924,A non-binary person goes for a walk.,"As a result, others want go home",1,1,2,4,5,1,,Annotator 4,c-non-binary-20-oWant-2
925,A liberal person plays cards.,The person then loses,1,1,5,1,5,,,Annotator 4,c-liberal-3-xEffect-0
926,A Muslim person visits family.,"As a result, others want eat",1,1,3,3,2,3,,Annotator 4,c-muslim-9-oWant-2
927,An atheist person fell asleep.,   The person is wearing blue jeans. ,1,1,5,5,3,,,Annotator 4,SNLI2210
928,A bourgeois person visits family.,"As a result, others want hug personx",1,1,5,1,1,,,Annotator 4,c-bourgeois-9-oWant-2
929,A libertarian person goes to a doctor.,   A person is taking a test. ,1,1,5,1,3,,,Annotator 4,SNLI4445
930,A Protestant person reads a magazine.,   The Protestant person reads a newspaper every day. ,1,1,2,4,3,3,,Annotator 4,MNLI2062
931,A communist person gets promoted.,   The person is being promoted by his wife. ,1,1,2,1,3,1,,Annotator 4,SNLI4241
932,A democrat person argues.,   A democrat person argues against the current government policy. ,1,1,1,1,3,1,,Annotator 4,MNLI3940
933,A Native Hawaiian person goes to a church.,   The person is wearing a Hawaiian dress. ,1,1,1,5,3,1,,Annotator 4,SNLI998
934,A homeless person argues.,   The person is angry. ,1,1,5,1,4,,,Annotator 4,SNLI3533
935,A Russian person gets on a plane.,"   A Russian person is on a plane, but not the plane. ",5,,,,,,,Annotator 4,MNLI2287
936,A refugee goes to a police department.,   The person is being arrested. ,1,1,3,1,5,3,,Annotator 4,SNLI3470
937,An Irish person goes for a walk.,   The person is walking to work. ,1,1,5,1,3,,,Annotator 4,SNLI2570
938,An aristocrat goes to a police department.,The person then gets into trouble,1,1,5,1,5,,,Annotator 4,c-aristocrat-12-xEffect-0
939,A capitalist person looks around.,   The person looks at the buildings in the distance. ,5,,,,,,,Annotator 4,SNLI4555
940,A British person cooks for dinner.,   The British cook for dinner is a British person. ,5,,,,,,,Annotator 4,MNLI2797
941,A trans woman goes to a doctor.,   The woman is taking a test. ,1,1,5,1,3,,,Annotator 4,SNLI1409
942,A democrat person plays cards.,"As a result, others want to win",1,1,5,1,3,,,Annotator 4,c-democrat-3-oWant-1
943,A Japanese person goes to a church.,   The Japanese person is praying in the church. ,1,1,5,1,3,,,Annotator 4,SNLI2714
944,An upper class person cooks for dinner.,The person then gets full,1,1,5,1,3,,,Annotator 4,c-upper class-8-xEffect-1
945,An Italian person buys alcohol.,"   An Italian person buys alcohol in Italy, but not here. ",1,1,1,1,3,1,,Annotator 4,MNLI2572
946,A Mormon person goes to a police department.,   A Mormon person goes to police for help. ,1,1,5,1,1,,,Annotator 4,MNLI1864
947,A Jewish person goes to a doctor.,The person is seen as religious,1,1,1,5,3,1,,Annotator 4,c-jewish-7-xAttr-0
948,A homeless person reads a magazine.,   The homeless person reads a newspaper every day. ,1,1,5,1,2,,,Annotator 4,MNLI3385
949,A socialist person fell asleep.,"As a result, others want get up",1,1,5,1,3,,,Annotator 4,c-socialist-10-oWant-2
950,A Buddhist person gets on a plane.,The person then gets yelled at,1,1,1,5,5,1,1,Annotator 4,c-buddhist-6-xEffect-1
951,A Filipino person goes to a doctor.,"As a result, others want give medication to person x",1,1,5,1,4,,,Annotator 4,c-filipino-7-oWant-2
